,Region,Incident ID,Incident Type,Full Location ,Start Date,Start Time,Duration ICT,Lanes Blocked,Blockage Duration RCT,Response Time,"Rural/
Urban",Key ,County,Interstate,Route,Direction,Unnamed: 16,Description,Inc MM,Latitude,Longitude,Severity Lanes,Severity Duration,Severity,Temp,Prec,Condition,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,sunrise,sunset,moonphase,conditions,description,icon,stations,geometry
6323,3,8844,Vehicle Fire,"DAVIDSON on Interstate 65 Southbound, Before MILE MARKER 75.2",2021-01-29,3:09:55 PM,158.05,0,0,4.316666667,Urban,6904,DAVIDSON,I-65S,I-65,Southbound,Before,MILE MARKER 75.2          ,75.2,36.04651237,-86.77762071,Level 1,Level 1,Level 1,44.2,0.0,Clear,nashville tennessee,2021-01-29,44.9,24.7,33.3,44.2,19.0,30.2,18.9,57.56,0.0,0.0,0.0,0.0,15.0,7.9,45.8,1030.0,29.7,9.9,2021-01-29T06:50:08,2021-01-29T17:10:56,0.51,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.77762070999999 36.04651237)
6931,3,9615,Vehicle Fire,"DAVIDSON on Interstate 65 Southbound, Beyond MILE MARKER 77.4",2021-02-05,6:44:24 PM,27.91666667,1,21.03333333,2.866666667,Urban,7574,DAVIDSON,I-65S,I-65,Southbound,Beyond,MILE MARKER 77.4          ,77.4,36.0762573,-86.76747949,Level 2,Level 1,Level 1,44.6,0.0,Clear,nashville tennessee,2021-02-05,49.2,28.4,38.8,45.8,23.8,34.4,23.9,57.93,0.0,0.0,0.0,0.0,24.1,11.9,227.3,1014.2,36.7,9.9,2021-02-05T06:44:25,2021-02-05T17:18:22,0.8,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.76747949 36.0762573)
6988,3,9689,Vehicle Fire,"RUTHERFORD on Interstate 24 Westbound, Beyond MILE MARKER 65.8",2021-02-06,3:15:20 PM,227,3,185,-2,Urban,7632,RUTHERFORD,I-24W,I-24,Westbound,Beyond,MILE MARKER 65.8          ,65.8,35.9833383,-86.57906217,Level 3,Level 3,Level 3,48.8,0.0,Clear,nashville tennessee,2021-02-06,48.8,33.1,40.4,46.4,30.7,38.9,27.6,61.39,0.02,8.33,0.0,0.0,12.8,7.5,108.3,1016.9,71.9,9.9,2021-02-06T06:43:30,2021-02-06T17:19:25,0.85,Rain,Partly cloudy throughout the day with late afternoon rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.57906217 35.9833383)
7638,3,10558,Vehicle Fire,"DAVIDSON on Interstate 24 Westbound, Beyond MILE MARKER 46.8",2021-02-14,4:12:57 PM,724,2,0,3,Urban,8358,DAVIDSON,I-24W,I-24,Westbound,Beyond,MILE MARKER 46.8          ,46.8,36.16791825,-86.76567324,Level 3,Level 1,Level 1,25.6,0.0,Clear,nashville tennessee,2021-02-14,25.6,22.4,23.8,16.1,11.0,13.4,20.5,86.81,0.11,12.5,0.0,0.0,27.3,12.6,319.4,1023.7,99.5,2.6,2021-02-14T06:35:21,2021-02-14T17:27:41,0.04,Snow,Cloudy skies throughout the day with late afternoon rain.,Snow,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.76567324 36.16791825)
8662,3,11803,Vehicle Fire,"DAVIDSON on Interstate 65 Northbound, Before MILE MARKER 90.4",2021-02-23,5:54:17 PM,307.45,3,306.8,1.133333333,Urban,9483,DAVIDSON,I-65N,I-65,Northbound,Before,MILE MARKER 90.4          ,90.4,36.25867769,-86.73836115,Level 3,Level 3,Level 3,66.5,0.0,Clear,nashville tennessee,2021-02-23,68.6,39.5,53.2,68.6,34.8,51.7,29.3,41.53,0.0,0.0,0.0,0.13,20.8,12.9,222.7,1016.5,0.1,9.9,2021-02-23T06:24:43,2021-02-23T17:36:37,0.42,Clear,Clear conditions throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.73836115 36.25867769)
8963,3,12202,Vehicle Fire,"DAVIDSON on Interstate 65 Southbound, Before MILE MARKER 91.2",2021-02-26,8:49:51 AM,490.4333333,0,5.7,1.85,Urban,9806,DAVIDSON,I-65S,I-65,Southbound,Before,MILE MARKER 91.2          ,91.2,36.26988859,-86.73656404,Level 1,Level 1,Level 1,46.7,0.0,Clear,nashville tennessee,2021-02-26,58.1,45.5,51.0,58.1,41.9,49.2,41.3,70.95,0.3,29.17,0.0,0.0,13.9,9.5,110.5,1018.4,96.0,9.1,2021-02-26T06:20:53,2021-02-26T17:39:29,0.5,Rain,Cloudy skies throughout the day with rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.73656404 36.26988859)
9035,3,12304,Vehicle Fire,"MAURY on Interstate 65 Northbound, Before MILE MARKER 44",2021-02-26,7:32:07 PM,304.15,1,303.2,0.016666667,Urban,9891,MAURY,I-65N,I-65,Northbound,Before,MILE MARKER 44          ,44.0,35.61263278,-86.90049227,Level 2,Level 3,Level 3,56.3,0.0,Clear,nashville tennessee,2021-02-26,58.1,45.5,51.0,58.1,41.9,49.2,41.3,70.95,0.3,29.17,0.0,0.0,13.9,9.5,110.5,1018.4,96.0,9.1,2021-02-26T06:20:53,2021-02-26T17:39:29,0.5,Rain,Cloudy skies throughout the day with rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.90049227 35.61263278)
9208,3,12522,Vehicle Fire,"DAVIDSON on Interstate 24 Eastbound, Before MILE MARKER 37.8",2021-02-28,3:41:21 PM,13,1,12,0,Urban,10075,DAVIDSON,I-24E,I-24,Eastbound,Before,MILE MARKER 37.8          ,37.8,36.30916591,-86.82400958,Level 2,Level 1,Level 1,73.7,0.0,Clear,nashville tennessee,2021-02-28,73.7,56.9,66.8,73.7,56.9,66.8,60.5,80.88,0.87,41.67,0.0,0.0,31.0,17.9,205.3,1013.3,93.4,8.4,2021-02-28T06:18:16,2021-02-28T17:41:23,0.51,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.82400957999999 36.30916591)
9521,3,12926,Vehicle Fire,"SMITH on Interstate 40 Westbound, Beyond MILE MARKER 265",2021-03-02,8:51:57 PM,38,1,37,0,Urban,10424,SMITH,I-40W,I-40,Westbound,Beyond,MILE MARKER 265          ,265.0,36.14184044,-85.84246815,Level 2,Level 2,Level 2,44.5,0.0,Clear,nashville tennessee,2021-03-02,52.0,34.9,43.4,52.0,29.7,40.5,26.2,52.06,0.0,0.0,0.0,0.0,11.4,8.8,116.4,1024.0,47.2,9.9,2021-03-02T06:15:36,2021-03-02T17:43:15,0.57,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-85.84246815 36.14184044)
9531,3,12943,Vehicle Fire,"DAVIDSON on Interstate 65 Northbound, Before MILE MARKER 90.8",2021-03-03,6:39:50 AM,36.15,0,4.783333333,-0.383333333,Urban,10434,DAVIDSON,I-65N,I-65,Northbound,Before,MILE MARKER 90.8          ,90.8,36.26398904,-86.73776493,Level 1,Level 1,Level 1,32.1,0.0,Clear,nashville tennessee,2021-03-03,62.7,32.1,47.4,62.7,32.1,47.4,28.8,52.78,0.0,0.0,0.0,0.0,12.8,6.1,193.6,1019.8,0.2,9.9,2021-03-03T06:14:15,2021-03-03T17:44:10,0.61,Clear,Clear conditions throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.73776493 36.26398904)
9682,3,13121,Vehicle Fire,"RUTHERFORD on Interstate 24 Westbound, Before MILE MARKER 70.8",2021-03-04,10:48:07 AM,11,0,0,0,Urban,10594,RUTHERFORD,I-24W,I-24,Westbound,Before,MILE MARKER 70.8          ,70.8,35.92733169,-86.52361344,Level 1,Level 1,Level 1,56.8,0.0,Clear,nashville tennessee,2021-03-04,68.6,35.4,51.5,68.6,35.4,51.3,32.8,53.96,0.0,0.0,0.0,0.0,17.2,10.2,67.3,1020.5,0.3,9.9,2021-03-04T06:12:54,2021-03-04T17:45:05,0.67,Clear,Clear conditions throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.52361344000001 35.92733169)
9906,3,13425,Vehicle Fire,"RUTHERFORD on Interstate 24 Eastbound, Before MILE MARKER 65.4",2021-03-06,12:39:44 PM,"2,895",2,9,0,Urban,10831,RUTHERFORD,I-24E,I-24,Eastbound,Before,MILE MARKER 65.4          ,65.4,35.98753334,-86.58443341,Level 3,Level 1,Level 1,52.5,0.0,Clear,nashville tennessee,2021-03-06,54.5,35.1,44.7,54.5,30.3,42.0,18.7,37.41,0.0,0.0,0.0,0.0,24.1,17.3,87.7,1026.0,20.7,9.9,2021-03-06T06:10:09,2021-03-06T17:46:55,0.78,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.58443341 35.98753334)
9949,3,13473,Vehicle Fire,"DAVIDSON on Interstate 24 Westbound, At MILE MARKER 51.8",2021-03-06,8:46:47 PM,"2,245",1,26,0,Urban,10879,DAVIDSON,I-24W,I-24,Westbound,At,MILE MARKER 51.8          ,51.8,36.09249203,-86.70517325,Level 2,Level 1,Level 1,45.0,0.0,Clear,nashville tennessee,2021-03-06,54.5,35.1,44.7,54.5,30.3,42.0,18.7,37.41,0.0,0.0,0.0,0.0,24.1,17.3,87.7,1026.0,20.7,9.9,2021-03-06T06:10:09,2021-03-06T17:46:55,0.78,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.70517325 36.09249203)
10383,3,14079,Vehicle Fire,"DAVIDSON on Interstate 40 Westbound, At EXIT 201: US-70 WEST / CHARLOTTE PK.",2021-03-11,11:09:15 AM,37,1,25,16,Urban,11359,DAVIDSON,I-40W,I-40,Westbound,At,EXIT 201 US-70 WEST / CHARLOTTE PK.      ,201.0,36.12992862,-86.89942083,Level 2,Level 1,Level 1,66.0,0.0,Clear,nashville tennessee,2021-03-11,73.7,61.4,66.1,73.7,61.4,66.1,46.8,49.88,0.0,0.0,0.0,0.0,29.8,16.7,192.8,1023.9,86.8,9.9,2021-03-11T06:03:09,2021-03-11T17:51:24,0.99,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.89942083 36.12992862)
10592,3,14348,Vehicle Fire,"DAVIDSON on Interstate 40 Westbound, Before MILE MARKER 217.6",2021-03-13,2:21:03 PM,"5,114",1,28,-2,Urban,11592,DAVIDSON,I-40W,I-40,Westbound,Before,MILE MARKER 217.6          ,217.6,36.14488581,-86.6467586,Level 2,Level 1,Level 1,54.6,0.0,Clear,nashville tennessee,2021-03-13,56.3,52.5,54.0,56.3,52.5,54.0,48.6,81.95,0.27,54.17,0.0,0.0,11.4,9.2,52.7,1025.9,98.9,9.2,2021-03-13T06:00:18,2021-03-13T17:53:10,0.0,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.6467586 36.14488581)
10631,3,14393,Vehicle Fire,"DAVIDSON on Interstate 65 Northbound, Before MILE MARKER 94.8",2021-03-13,9:07:14 PM,259.0666667,2,24.31666667,-5.2,Urban,11633,DAVIDSON,I-65N,I-65,Northbound,Before,MILE MARKER 94.8          ,94.8,36.296347,-86.715385,Level 3,Level 1,Level 1,53.8,0.0,Clear,nashville tennessee,2021-03-13,56.3,52.5,54.0,56.3,52.5,54.0,48.6,81.95,0.27,54.17,0.0,0.0,11.4,9.2,52.7,1025.9,98.9,9.2,2021-03-13T06:00:18,2021-03-13T17:53:10,0.0,Rain,Cloudy skies throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.715385 36.296347)
10810,3,14659,Vehicle Fire,"DAVIDSON on Interstate 40 Eastbound, Before MILE MARKER 214.6",2021-03-16,3:10:17 PM,119,1,19,1,Urban,11838,DAVIDSON,I-40E,I-40,Eastbound,Before,MILE MARKER 214.6          ,214.6,36.143673,-86.702067,Level 2,Level 1,Level 1,75.7,0.0,Clear,nashville tennessee,2021-03-16,77.2,57.9,65.4,77.2,57.9,65.4,53.4,69.43,0.0,0.0,0.0,0.0,19.7,10.2,185.5,1013.0,70.5,9.7,2021-03-16T06:55:59,2021-03-16T18:55:48,0.04,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.702067 36.143673)
11290,3,15314,Vehicle Fire,"DAVIDSON on Interstate 40 Eastbound, Before MILE MARKER 194.4",2021-03-22,12:16:48 PM,95,2,81,0,Urban,12378,DAVIDSON,I-40E,I-40,Eastbound,Before,MILE MARKER 194.4          ,194.4,36.07772378,-86.98749684,Level 3,Level 2,Level 2,65.9,0.0,Clear,nashville tennessee,2021-03-22,70.0,45.9,58.4,70.0,45.9,58.4,41.6,56.76,0.0,0.0,0.0,0.0,16.1,9.4,89.7,1020.5,61.2,9.9,2021-03-22T06:47:18,2021-03-22T19:00:58,0.29,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.98749684000001 36.07772378)
11331,3,15372,Vehicle Fire,"DAVIDSON on Interstate 24 Westbound, Beyond MILE MARKER 53",2021-03-23,12:48:52 AM,"1,103",0,32,0,Urban,12425,DAVIDSON,I-24W,I-24,Westbound,Beyond,MILE MARKER 53          ,53.0,36.07752573,-86.69480574,Level 1,Level 2,Level 1,56.8,0.0,Clear,nashville tennessee,2021-03-23,66.6,56.8,61.2,66.6,56.8,61.2,47.1,60.06,0.01,12.5,0.0,0.0,32.6,19.7,144.7,1013.1,85.0,9.9,2021-03-23T06:45:50,2021-03-23T19:01:49,0.34,Rain,Partly cloudy throughout the day with afternoon rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.69480574000001 36.07752573)
11699,3,15865,Vehicle Fire,"WILLIAMSON on Interstate 65 Northbound, At EXIT 59A-B: I-840 / KNOXVILLE",2021-03-26,10:18:48 AM,38.98333333,0,29.35,18.48333333,Urban,12838,WILLIAMSON,I-65N,I-65,Northbound,At,EXIT 59A-B: I-840 / KNOXVILLE        ,59.0,35.82256037,-86.8380642,Level 1,Level 1,Level 1,58.2,0.0,Clear,nashville tennessee,2021-03-26,72.5,50.5,61.2,72.5,50.5,61.2,46.8,61.0,0.09,58.33,0.0,0.0,24.5,11.5,202.9,1016.7,19.5,9.9,2021-03-26T06:41:29,2021-03-26T19:04:22,0.46,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.83806420000001 35.82256037)
11774,3,15950,Vehicle Fire,"WILLIAMSON on Interstate 840 Eastbound, Before MILE MARKER 31",2021-03-26,8:04:18 PM,48,0,47,0,Urban,12919,WILLIAMSON,I-840E,I-840,Eastbound,Before,MILE MARKER 31          ,31.0,35.82147101,-86.84769452,Level 1,Level 2,Level 1,65.6,0.0,Clear,nashville tennessee,2021-03-26,72.5,50.5,61.2,72.5,50.5,61.2,46.8,61.0,0.09,58.33,0.0,0.0,24.5,11.5,202.9,1016.7,19.5,9.9,2021-03-26T06:41:29,2021-03-26T19:04:22,0.46,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.84769452 35.82147101)
11783,3,15963,Vehicle Fire,"DAVIDSON on Interstate 24 Eastbound, Before MILE MARKER 54.8",2021-03-27,1:23:53 AM,32,2,32,0,Urban,12930,DAVIDSON,I-24E,I-24,Eastbound,Before,MILE MARKER 54.8          ,54.8,36.05614107,-86.67573803,Level 3,Level 2,Level 2,52.8,0.0,Clear,nashville tennessee,2021-03-27,64.0,51.7,58.6,64.0,51.7,58.6,54.9,87.78,2.12,79.17,0.0,0.0,36.0,12.1,133.9,1015.6,79.9,7.7,2021-03-27T06:40:02,2021-03-27T19:05:13,0.49,Rain,Partly cloudy throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.67573803000001 36.05614107)
11867,3,16073,Vehicle Fire,"RUTHERFORD on Interstate 24 Eastbound, At EXIT 76: FORTRESS BLVD. / MEDICAL CENTER PKWY.",2021-03-27,6:41:06 PM,67,1,1,0,Urban,13021,RUTHERFORD,I-24E,I-24,Eastbound,At,EXIT 76 FORTRESS BLVD. / MEDICAL CENTER PKWY.     ,76.0,35.87147553,-86.46184117,Level 2,Level 1,Level 1,62.7,0.0,Clear,nashville tennessee,2021-03-27,64.0,51.7,58.6,64.0,51.7,58.6,54.9,87.78,2.12,79.17,0.0,0.0,36.0,12.1,133.9,1015.6,79.9,7.7,2021-03-27T06:40:02,2021-03-27T19:05:13,0.49,Rain,Partly cloudy throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.46184117 35.87147553)
12138,3,16447,Vehicle Fire,"WILLIAMSON on Interstate 65 Northbound, Before MILE MARKER 64.2",2021-03-30,11:32:01 AM,4.816666667,0,0,0,Urban,13325,WILLIAMSON,I-65N,I-65,Northbound,Before,MILE MARKER 64.2          ,64.2,35.89627439,-86.82866728,Level 1,Level 1,Level 1,68.7,0.0,Clear,nashville tennessee,2021-03-30,76.2,46.3,61.9,76.2,44.3,61.6,41.6,49.25,0.14,95.83,0.0,0.0,32.8,18.0,145.8,1017.7,43.9,9.8,2021-03-30T06:35:41,2021-03-30T19:07:46,0.53,Rain,Partly cloudy throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.82866728 35.89627439)
12338,3,16715,Vehicle Fire,"DAVIDSON on Interstate 40 Westbound, Before MILE MARKER 211.8",2021-04-01,7:24:04 AM,185,1,4,1,Urban,13566,DAVIDSON,I-40W,I-40,Westbound,Before,MILE MARKER 211.8          ,211.8,36.149281,-86.747032,Level 2,Level 1,Level 1,34.6,0.0,Clear,nashville tennessee,2021-04-01,47.8,34.6,41.4,42.3,28.4,35.1,18.8,40.13,0.04,29.17,0.0,0.0,27.5,16.0,333.0,1029.8,12.0,9.9,2021-04-01T06:32:49,2021-04-01T19:09:27,0.6,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.747032 36.149281)
12487,3,16909,Vehicle Fire,"WILLIAMSON on Interstate 65 Northbound, Beyond MILE MARKER 72",2021-04-02,3:24:12 PM,67.4,4,35.06666667,-0.55,Urban,13743,WILLIAMSON,I-65N,I-65,Northbound,Beyond,MILE MARKER 72          ,72.0,36.00403705,-86.79081449,Level 3,Level 2,Level 2,49.3,0.01,Rain,nashville tennessee,2021-04-02,51.4,30.7,41.0,51.4,25.5,37.2,19.6,44.1,0.05,33.33,0.0,0.0,18.3,9.6,82.6,1032.5,0.4,9.9,2021-04-02T06:31:23,2021-04-02T19:10:18,0.65,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.79081449 36.00403705)
12550,3,16993,Vehicle Fire,"DAVIDSON on Interstate 65 Northbound, Beyond MILE MARKER 90",2021-04-03,12:11:35 PM,71.33333333,1,20.9,1.683333333,Urban,13821,DAVIDSON,I-65N,I-65,Northbound,Beyond,MILE MARKER 90          ,90.0,36.25294824,-86.73945704,Level 2,Level 1,Level 1,57.0,0.01,Rain,nashville tennessee,2021-04-03,65.9,31.1,48.6,65.9,29.9,48.4,25.4,47.18,0.06,37.5,0.0,0.0,15.0,7.0,143.3,1029.2,5.3,9.9,2021-04-03T06:29:57,2021-04-03T19:11:08,0.7,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.73945704 36.25294824)
12670,3,17139,Vehicle Fire,"DAVIDSON on Interstate 65 Southbound, Beyond MILE MARKER 77.6",2021-04-05,6:36:52 AM,383.5666667,1,0.133333333,0.866666667,Urban,13956,DAVIDSON,I-65S,I-65,Southbound,Beyond,MILE MARKER 77.6          ,77.6,36.07861883,-86.76539492,Level 2,Level 1,Level 1,46.5,0.0,Clear,nashville tennessee,2021-04-05,78.2,46.5,62.7,78.2,46.5,62.7,39.2,45.93,0.01,8.33,0.0,0.0,18.8,12.3,153.3,1019.5,13.9,9.9,2021-04-05T06:27:07,2021-04-05T19:12:50,0.81,Rain,Clear conditions throughout the day with rain clearing later.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.76539492000001 36.07861883)
12843,3,17356,Vehicle Fire,"DAVIDSON on Interstate 65 Northbound, Before MILE MARKER 84.8",2021-04-06,4:47:55 PM,46.25,3,42.46666667,0.033333333,Urban,14151,DAVIDSON,I-65N,I-65,Northbound,Before,MILE MARKER 84.8          ,84.8,36.177085,-86.800874,Level 3,Level 2,Level 2,80.1,0.0,Clear,nashville tennessee,2021-04-06,80.2,53.8,67.5,79.6,53.8,67.4,46.8,49.75,0.0,0.0,0.0,0.0,20.7,11.6,135.3,1016.7,48.2,9.9,2021-04-06T06:25:43,2021-04-06T19:13:40,0.86,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.80087399999999 36.177085)
13042,3,17617,Vehicle Fire,"DAVIDSON on Interstate 24 Westbound, Beyond MILE MARKER 61.8",2021-04-08,9:38:04 AM,522,2,20,4,Urban,14371,DAVIDSON,I-24W,I-24,Westbound,Beyond,MILE MARKER 61.8          ,61.8,36.022249,-86.629258,Level 3,Level 1,Level 1,62.6,0.01,Rain,nashville tennessee,2021-04-08,75.4,59.5,66.7,75.4,59.5,66.7,52.8,64.31,0.46,37.5,0.0,0.0,35.6,17.9,194.7,1007.2,81.5,9.1,2021-04-08T06:22:55,2021-04-08T19:15:22,0.94,Rain,Partly cloudy throughout the day with rain clearing later.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.62925799999999 36.022249)
13112,3,17700,Vehicle Fire,"DAVIDSON on Interstate 65 Southbound, Before MILE MARKER 76",2021-04-08,6:15:40 PM,3864.266667,1,16.06666667,0.033333333,Urban,14445,DAVIDSON,I-65S,I-65,Southbound,Before,MILE MARKER 76          ,76.0,36.05938882,-86.77284698,Level 2,Level 1,Level 1,74.3,0.0,Clear,nashville tennessee,2021-04-08,75.4,59.5,66.7,75.4,59.5,66.7,52.8,64.31,0.46,37.5,0.0,0.0,35.6,17.9,194.7,1007.2,81.5,9.1,2021-04-08T06:22:55,2021-04-08T19:15:22,0.94,Rain,Partly cloudy throughout the day with rain clearing later.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.77284698 36.05938882)
13265,3,17884,Vehicle Fire,"DAVIDSON on Interstate 65 Northbound, Beyond MILE MARKER 88.4",2021-04-10,9:33:25 AM,307.15,1,8.266666667,4.55,Urban,14609,DAVIDSON,I-65N,I-65,Northbound,Beyond,MILE MARKER 88.4          ,88.4,36.23708595,-86.75978437,Level 2,Level 1,Level 1,61.5,0.0,Clear,nashville tennessee,2021-04-10,71.8,61.5,65.7,71.8,61.5,65.7,54.4,68.26,0.19,29.17,0.0,0.0,32.4,18.0,196.4,1003.4,78.3,9.3,2021-04-10T06:20:09,2021-04-10T19:17:03,0.99,Rain,Partly cloudy throughout the day with rain in the morning and afternoon.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.75978437000001 36.23708595)
13423,3,18079,Vehicle Fire,"DAVIDSON on Interstate 440 Eastbound, At MILE MARKER 1",2021-04-11,8:49:05 PM,16,1,14,2,Urban,14781,DAVIDSON,I-440E,I-440,Eastbound,At,MILE MARKER 1          ,1.0,36.14312786,-86.82267303,Level 2,Level 1,Level 1,65.1,0.0,Clear,nashville tennessee,2021-04-11,72.5,50.7,61.7,72.5,50.7,61.7,37.6,44.16,0.0,0.0,0.0,0.0,32.0,17.9,236.1,1003.3,13.1,9.9,2021-04-11T06:18:46,2021-04-11T19:17:54,1.0,Clear,Clear conditions throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.82267303 36.14312786)
13511,3,18195,Vehicle Fire,"DAVIDSON on Interstate 65 Northbound, Before MILE MARKER 85.8",2021-04-12,6:50:53 PM,325.9333333,1,2.2,2.166666667,Urban,14878,DAVIDSON,I-65N,I-65,Northbound,Before,MILE MARKER 85.8          ,85.8,36.20522812,-86.77652759,Level 2,Level 1,Level 1,75.5,0.0,Clear,nashville tennessee,2021-04-12,78.1,49.8,65.0,78.1,49.8,65.0,41.8,44.84,0.0,0.0,0.0,0.0,16.1,9.8,194.4,1010.4,6.7,9.9,2021-04-12T06:17:25,2021-04-12T19:18:45,0.0,Clear,Clear conditions throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.77652759 36.20522812)
13622,3,18343,Vehicle Fire,"DAVIDSON on Interstate 24 Eastbound, Before EXIT 62: SR-171 / OLD HICKORY BLVD.",2021-04-14,5:56:00 AM,199,0,7,6,Urban,15003,DAVIDSON,I-24E,I-24,Eastbound,Before,EXIT 62 SR-171 / OLD HICKORY BLVD.      ,62.0,36.02057,-86.627399,Level 1,Level 1,Level 1,54.4,0.0,Clear,nashville tennessee,2021-04-14,60.8,53.1,57.3,60.8,53.1,57.3,43.5,59.91,0.0,0.0,0.0,0.0,16.1,10.9,276.5,1018.2,70.0,9.9,2021-04-14T06:14:43,2021-04-14T19:20:27,0.03,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.627399 36.02057)
13676,3,18408,Vehicle Fire,"DAVIDSON on Interstate 24 Westbound, Before MILE MARKER 48.8",2021-04-14,3:23:31 PM,90,1,1,0,Urban,15059,DAVIDSON,I-24W,I-24,Westbound,Before,MILE MARKER 48.8          ,48.8,36.12854411,-86.72761859,Level 2,Level 1,Level 1,58.8,0.0,Clear,nashville tennessee,2021-04-14,60.8,53.1,57.3,60.8,53.1,57.3,43.5,59.91,0.0,0.0,0.0,0.0,16.1,10.9,276.5,1018.2,70.0,9.9,2021-04-14T06:14:43,2021-04-14T19:20:27,0.03,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.72761859000001 36.12854411)
13720,3,18461,Vehicle Fire,"WILSON on Interstate 40 Eastbound, Beyond MILE MARKER 241.2",2021-04-15,7:42:05 AM,44,1,30,-1,Urban,15104,WILSON,I-40E,I-40,Eastbound,Beyond,MILE MARKER 241.2          ,241.2,36.18934697,-86.16899833,Level 2,Level 1,Level 1,48.6,0.0,Clear,nashville tennessee,2021-04-15,62.7,48.6,54.9,62.7,44.0,54.3,35.5,49.44,0.0,0.0,0.0,0.0,20.4,13.2,302.1,1016.4,45.6,9.9,2021-04-15T06:13:23,2021-04-15T19:21:18,0.05,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.16899832999999 36.18934697)
